,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lethem,3.38,-59.8,88.95,50,57,3.29,GY,1596139879
1,jamestown,42.1,-79.24,77.0,57,75,5.82,US,1596139668
2,mar del plata,-38.0,-57.56,53.01,57,100,6.93,AR,1596139879
3,manta,-0.95,-80.73,78.8,78,75,9.17,EC,1596139880
4,chokurdakh,70.63,147.92,44.29,83,73,11.12,RU,1596139689
5,yulara,-25.24,130.99,46.4,28,0,8.05,AU,1596139881
6,nhamunda,-2.19,-56.71,88.83,45,92,3.4,BR,1596139881
7,hithadhoo,-0.6,73.08,83.01,76,99,8.32,MV,1596139881
8,east london,-33.02,27.91,62.17,72,97,5.64,ZA,1596139882
9,hobart,-42.88,147.33,46.99,70,99,6.93,AU,1596139655
10,fenoarivo atsinanana,-17.37,49.42,67.3,87,1,4.43,MG,1596139691
11,tasiilaq,65.61,-37.64,48.2,66,40,5.82,GL,1596139691
12,zamora,-4.07,-78.96,80.6,42,75,17.22,EC,1596139691
13,punta arenas,-53.15,-70.92,39.0,86,40,9.17,CL,1596139513
14,busselton,-33.65,115.33,48.0,85,43,10.96,AU,1596139692
15,ginir,7.13,40.7,61.84,76,41,9.78,ET,1596139692
16,roald,62.58,6.13,62.01,82,40,3.36,NO,1596139692
17,mataura,-46.19,168.86,44.8,83,100,1.86,NZ,1596139693
18,ust-tsilma,65.44,52.15,49.08,78,0,5.21,RU,1596139693
19,port elizabeth,-33.92,25.57,55.4,93,4,6.93,ZA,1596139695
20,puerto ayora,-0.74,-90.35,75.2,69,40,14.99,EC,1596139695
21,bastia,42.67,9.33,81.0,83,15,2.24,FR,1596139458
22,ugoofaaru,5.67,73.0,82.08,81,41,17.92,MV,1596139696
23,ribeira grande,38.52,-28.7,75.2,60,75,6.93,PT,1596139696
24,kruisfontein,-34.0,24.73,51.01,88,0,5.75,ZA,1596139697
25,riyadh,24.69,46.72,100.4,19,97,3.36,SA,1596139572
26,avarua,-21.21,-159.78,68.0,68,100,5.82,CK,1596139697
27,upernavik,72.79,-56.15,44.13,73,61,2.35,GL,1596139697
28,rikitea,-23.12,-134.97,72.77,87,97,13.38,PF,1596139697
29,torbay,47.67,-52.73,61.0,100,90,6.93,CA,1596139515
30,mahebourg,-20.41,57.7,69.8,88,40,5.82,MU,1596139698
31,yellowknife,62.46,-114.35,66.2,59,75,17.22,CA,1596139682
32,stornoway,58.21,-6.39,57.2,100,100,9.17,GB,1596139698
33,aktau,43.65,51.2,71.6,88,5,8.95,KZ,1596139699
34,rocha,-34.48,-54.33,51.1,72,0,6.8,UY,1596139699
35,nicoya,10.15,-85.45,91.4,55,40,13.87,CR,1596139699
36,forbes,-33.38,148.02,37.99,97,1,4.21,AU,1596139700
37,teahupoo,-17.83,-149.27,84.2,70,40,5.82,PF,1596139700
38,hermanus,-34.42,19.23,48.0,93,0,3.69,ZA,1596139700
39,guerrero negro,27.98,-114.06,83.46,45,5,12.39,MX,1596139700
40,hilo,19.73,-155.09,80.6,61,90,5.82,US,1596139701
41,lebu,-37.62,-73.65,51.57,88,97,16.02,CL,1596139701
42,clyde river,70.47,-68.59,37.4,100,75,17.22,CA,1596139701
43,vallenar,-28.57,-70.76,82.17,13,0,5.3,CL,1596139702
44,gracanica,44.7,18.31,73.4,83,2,2.24,BA,1596139702
45,nikolskoye,59.7,30.79,57.2,87,20,2.24,RU,1596139702
46,botwood,49.15,-55.35,68.0,77,91,2.26,CA,1596139493
47,havelock,34.88,-76.9,87.01,76,35,3.0,US,1596139702
48,qaanaaq,77.48,-69.36,43.57,60,0,4.27,GL,1596139703
49,kutum,14.2,24.67,75.27,70,100,4.56,SD,1596139703
50,agadez,19.75,10.25,92.77,11,46,9.08,NE,1596139703
51,sitka,57.05,-135.33,66.2,63,1,6.93,US,1596139703
52,leningradskiy,69.38,178.42,40.71,83,100,15.17,RU,1596139704
53,bengkulu,-3.8,102.27,75.27,91,98,7.96,ID,1596139704
54,kaitangata,-46.28,169.85,44.01,80,100,3.0,NZ,1596139704
55,ushuaia,-54.8,-68.3,35.6,64,20,3.29,AR,1596139638
56,saskylakh,71.92,114.08,52.38,81,0,1.61,RU,1596139705
57,abu kamal,34.45,40.92,94.53,14,0,8.68,SY,1596139705
58,polyarnyy,69.2,33.45,51.8,71,75,6.71,RU,1596139705
59,waingapu,-9.66,120.26,69.94,79,1,7.78,ID,1596139705
60,lubango,-14.92,13.49,58.32,33,0,5.39,AO,1596139706
61,naryan-mar,67.67,53.09,46.33,95,0,9.01,RU,1596139706
62,olinda,-8.01,-34.86,78.8,61,40,12.75,BR,1596139706
63,port hardy,50.7,-127.42,62.6,77,20,4.7,CA,1596139706
64,saint-philippe,-21.36,55.77,69.8,77,75,4.7,RE,1596139707
65,jiayuguan,39.82,98.3,69.39,31,0,10.51,CN,1596139707
66,cherskiy,68.75,161.3,46.2,72,95,8.43,RU,1596139707
67,gari,59.43,62.35,53.58,96,100,7.16,RU,1596139707
68,pevek,69.7,170.31,36.5,95,100,8.32,RU,1596139708
69,savinka,50.08,47.1,75.07,58,57,7.45,RU,1596139708
70,bethel,41.37,-73.41,84.99,51,75,5.82,US,1596139709
71,antofagasta,-23.65,-70.4,57.2,71,90,14.99,CL,1596139502
72,vaini,-21.2,-175.2,69.8,77,40,10.29,TO,1596139709
73,hamilton,39.18,-84.53,73.0,83,90,5.82,US,1596139449
74,hasaki,35.73,140.83,70.0,94,75,1.12,JP,1596139710
75,cape town,-33.93,18.42,55.0,87,0,4.7,ZA,1596139710
76,vuktyl,63.86,57.31,54.91,79,77,8.75,RU,1596139710
77,port alfred,-33.59,26.89,57.54,82,21,5.66,ZA,1596139711
78,waddan,29.16,16.14,84.88,26,0,22.39,LY,1596139711
79,carnarvon,-24.87,113.63,62.6,100,0,12.75,AU,1596139711
80,ponta do sol,32.67,-17.1,69.8,68,40,12.75,PT,1596139711
81,kanigoro,-8.13,112.22,68.25,92,81,3.27,ID,1596139712
82,fergus falls,46.28,-96.08,81.0,54,40,5.82,US,1596139487
83,touros,-5.2,-35.46,84.2,48,20,9.17,BR,1596139712
84,languyan,5.26,120.08,79.29,84,100,7.23,PH,1596139712
85,cidreira,-30.18,-50.21,55.83,72,0,11.65,BR,1596139713
86,catia la mar,10.6,-67.03,77.0,63,62,11.41,VE,1596139713
87,norman wells,65.28,-126.83,69.8,60,75,10.29,CA,1596139713
88,khatanga,71.97,102.5,58.42,59,32,8.68,RU,1596139713
89,dikson,73.51,80.55,51.53,80,99,6.06,RU,1596139713
90,kropotkin,45.44,40.58,72.36,47,7,3.58,RU,1596139714
91,olavarria,-36.89,-60.32,49.69,60,73,13.53,AR,1596139714
92,talnakh,69.49,88.4,59.0,67,44,11.18,RU,1596139714
93,altay,47.87,88.12,51.42,63,0,1.77,CN,1596139714
94,athabasca,54.72,-113.29,76.69,54,94,5.99,CA,1596139698
95,cabo san lucas,22.89,-109.91,88.0,48,5,11.41,MX,1596139417
96,joaquim nabuco,-8.62,-35.53,71.37,86,0,10.13,BR,1596139715
97,natitingou,10.3,1.38,74.5,91,84,4.68,BJ,1596139716
98,westport,41.14,-73.36,89.6,43,75,6.93,US,1596139716
99,metu,8.3,35.58,60.22,99,100,2.26,ET,1596139626
100,lompoc,34.64,-120.46,68.0,77,1,9.17,US,1596139717
101,tuktoyaktuk,69.45,-133.04,62.6,77,90,9.17,CA,1596139717
102,tommot,58.96,126.29,61.02,65,100,7.52,RU,1596139717
103,faanui,-16.48,-151.75,79.56,79,100,14.56,PF,1596139717
104,makakilo city,21.35,-158.09,82.4,54,1,6.93,US,1596139621
105,butaritari,3.07,172.79,81.52,76,62,5.57,KI,1596139718
106,bredasdorp,-34.53,20.04,51.8,87,0,2.24,ZA,1596139713
107,meulaboh,4.14,96.13,77.88,80,100,3.78,ID,1596139718
108,talara,-4.58,-81.27,71.6,68,71,13.87,PE,1596139718
109,georgetown,5.41,100.34,80.6,94,40,2.57,MY,1596139718
110,rio gallegos,-51.62,-69.22,41.0,65,56,8.05,AR,1596139719
111,kokopo,-4.35,152.26,77.63,84,57,10.25,PG,1596139719
112,srednekolymsk,67.45,153.68,51.39,61,74,5.82,RU,1596139719
113,plettenberg bay,-34.05,23.37,55.56,76,0,4.99,ZA,1596139720
114,husavik,66.04,-17.34,55.4,71,24,11.41,IS,1596139720
115,atuona,-9.8,-139.03,79.11,75,1,19.1,PF,1596139720
116,kodiak,57.79,-152.41,60.8,72,1,11.41,US,1596139644
117,havoysund,71.0,24.66,59.0,76,20,18.34,NO,1596139721
118,albany,42.6,-73.97,84.0,43,100,6.6,US,1596139502
119,thinadhoo,0.53,72.93,82.51,78,52,10.4,MV,1596139721
120,tuatapere,-46.13,167.68,48.67,92,100,3.89,NZ,1596139721
121,okhotsk,59.38,143.3,56.14,73,0,6.08,RU,1596139722
122,kavieng,-2.57,150.8,82.85,73,100,4.21,PG,1596139722
123,sambava,-14.27,50.17,70.9,82,16,10.54,MG,1596139722
124,nevelsk,46.67,141.86,60.8,93,40,4.47,RU,1596139722
125,cockburn town,21.46,-71.14,81.93,73,100,41.38,TC,1596139723
126,labuhan,-6.88,112.21,72.41,83,20,9.4,ID,1596139723
127,new norfolk,-42.78,147.06,46.99,85,100,1.01,AU,1596139722
128,esperance,-33.87,121.9,50.0,100,90,3.36,AU,1596139724
129,lucapa,-8.42,20.74,69.98,26,0,3.49,AO,1596139724
130,fougamou,-1.22,10.58,76.01,69,90,4.43,GA,1596139724
131,bambous virieux,-20.34,57.76,69.8,88,40,5.82,MU,1596139724
132,mangan,27.52,88.53,75.63,59,100,0.94,IN,1596139725
133,dawson creek,55.77,-120.24,66.2,82,40,4.7,CA,1596139725
134,beatrice,40.27,-96.75,78.8,69,75,14.99,US,1596139725
135,thiers,45.83,3.5,86.0,37,1,9.17,FR,1596139725
136,naze,28.37,129.48,78.8,94,40,2.24,JP,1596139715
137,aykhal,66.0,111.5,51.8,71,0,6.71,RU,1596139726
138,vestmanna,62.16,-7.17,50.0,93,100,11.41,FO,1596139726
139,qandala,11.47,49.87,90.77,54,100,3.96,SO,1596139726
140,codrington,-38.27,141.97,41.77,93,86,9.01,AU,1596139727
141,coquimbo,-29.95,-71.34,59.0,62,0,13.87,CL,1596139604
142,lixourion,38.2,20.43,86.0,51,0,8.05,GR,1596139727
143,castro,-24.79,-50.01,55.2,77,67,9.73,BR,1596139727
144,myski,53.71,87.8,51.85,93,23,2.98,RU,1596139728
145,nanortalik,60.14,-45.24,43.63,86,100,12.3,GL,1596139728
146,saint george,37.1,-113.58,106.0,11,1,3.36,US,1596139690
147,tecoanapa,16.52,-98.75,89.08,56,7,8.1,MX,1596139729
148,san policarpo,12.18,125.51,79.3,83,100,6.06,PH,1596139729
149,vicosa,-20.75,-42.88,75.99,46,29,4.0,BR,1596139729
150,thompson,55.74,-97.86,80.6,47,75,10.29,CA,1596139435
151,kahului,20.89,-156.47,77.0,78,20,21.92,US,1596139729
152,ballina,-28.87,153.57,57.2,67,90,9.17,AU,1596139730
153,souillac,-20.52,57.52,69.8,88,40,5.82,MU,1596139730
154,baykit,61.67,96.37,59.76,81,100,3.44,RU,1596139730
155,klyuchi,52.27,79.17,57.22,51,43,6.91,RU,1596139731
156,itoman,26.12,127.67,84.2,83,20,4.7,JP,1596139731
157,tessalit,20.2,1.01,100.69,11,1,7.63,ML,1596139731
158,ilulissat,69.22,-51.1,48.2,61,40,4.7,GL,1596139731
159,saint anthony,45.02,-93.22,82.0,42,40,8.05,US,1596139732
160,pacific grove,36.62,-121.92,75.0,64,40,6.93,US,1596139712
161,navrongo,10.9,-1.09,81.12,71,37,4.54,GH,1596139732
162,banda aceh,5.56,95.32,81.36,68,100,11.83,ID,1596139733
163,bakchar,57.02,82.07,49.3,94,90,4.25,RU,1596139733
164,conceicao do araguaia,-8.26,-49.26,95.0,26,66,6.93,BR,1596139733
165,bluff,-46.6,168.33,47.84,84,100,7.65,NZ,1596139710
166,barstow,34.9,-117.02,107.6,8,1,11.41,US,1596139733
167,fairfield,41.27,-73.32,87.01,51,75,5.82,US,1596139699
168,longyearbyen,78.22,15.64,51.8,76,20,8.05,SJ,1596139734
169,hambantota,6.12,81.12,79.7,82,100,16.11,LK,1596139734
170,leo,11.1,-2.1,79.34,71,44,4.29,BF,1596139566
171,rawson,-43.3,-65.1,53.49,48,100,10.54,AR,1596139735
172,paungde,18.48,95.5,77.47,94,92,5.46,MM,1596139735
173,bay roberts,47.6,-53.26,62.01,1,100,3.89,CA,1596139735
174,pacifica,37.61,-122.49,69.01,63,20,14.99,US,1596139736
175,huesca,42.14,-0.41,88.0,27,96,4.7,ES,1596139736
176,noumea,-22.28,166.46,75.0,88,79,2.24,NC,1596139515
177,maraa,-1.83,-65.37,91.85,34,7,4.52,BR,1596139736
178,port blair,11.67,92.75,80.44,84,100,14.88,IN,1596139737
179,warrington,53.39,-2.58,73.99,53,33,6.93,GB,1596139513
180,erzin,36.96,36.2,82.99,83,0,0.49,TR,1596139737
181,menongue,-14.66,17.69,56.3,41,0,4.47,AO,1596139737
182,mogzon,51.74,111.96,58.23,95,100,3.67,RU,1596139738
183,pisco,-13.7,-76.22,64.4,72,20,9.17,PE,1596139638
184,muzhi,65.37,64.67,49.06,84,27,2.13,RU,1596139738
185,iqaluit,63.75,-68.51,57.2,71,75,6.93,CA,1596139503
186,port keats,-14.25,129.55,59.92,33,0,6.93,AU,1596139738
187,maicao,11.38,-72.24,91.54,54,43,6.13,CO,1596139739
188,jiangkou,25.49,119.2,84.2,83,40,15.66,CN,1596139739
189,adzope,6.11,-3.86,72.7,91,36,4.16,CI,1596139739
190,ostrovnoy,68.05,39.51,49.23,90,29,13.82,RU,1596139739
191,santa rosa,14.31,121.11,78.8,94,98,3.83,PH,1596139740
192,zabol,32.25,67.25,72.93,19,0,7.7,AF,1596139740
193,waipawa,-41.41,175.52,51.8,71,100,10.29,NZ,1596139740
194,san quintin,30.48,-115.95,76.08,64,1,12.01,MX,1596139740
195,kapaa,22.08,-159.32,80.6,69,75,16.11,US,1596139741
196,le mars,42.79,-96.17,79.0,50,40,13.87,US,1596139741
197,maniitsoq,65.42,-52.9,47.37,81,0,6.08,GL,1596139741
198,sao filipe,14.9,-24.5,76.78,84,22,10.78,CV,1596139742
199,adrar,20.5,-10.07,97.48,26,21,3.89,MR,1596139742
200,faya,18.39,42.45,68.0,93,40,5.82,SA,1596139714
201,penzance,50.12,-5.54,66.0,82,3,18.34,GB,1596139743
202,kembe,4.62,21.89,70.23,92,5,1.72,CF,1596139743
203,panlaitan,12.12,119.85,80.04,90,100,18.99,PH,1596139743
204,sur,22.57,59.53,91.35,56,39,13.69,OM,1596139743
205,salalah,17.02,54.09,82.4,94,75,3.36,OM,1596139744
206,ahipara,-35.17,173.17,55.98,81,100,11.79,NZ,1596139703
207,natchitoches,31.77,-93.13,91.4,59,40,5.82,US,1596139745
208,egvekinot,66.32,-179.17,45.77,70,30,2.13,RU,1596139745
209,klaksvik,62.23,-6.59,50.0,93,100,11.41,FO,1596139564
210,fernley,39.61,-119.25,96.01,9,0,3.0,US,1596139479
211,belen,36.49,36.22,84.2,48,0,13.87,TR,1596139745
212,san patricio,19.22,-104.7,91.4,70,40,11.41,MX,1596139746
213,hami,42.8,93.45,72.7,37,0,13.13,CN,1596139728
214,orlik,52.52,99.83,49.53,78,0,1.9,RU,1596139746
215,kirakira,-10.45,161.92,78.96,80,35,2.77,SB,1596139746
216,vila,42.03,-8.16,73.99,69,0,7.0,PT,1596139747
217,valentin gomez farias,28.22,-106.58,89.28,24,1,16.31,MX,1596139747
218,sweetwater,25.76,-80.37,91.4,62,75,12.75,US,1596139747
219,nushki,29.55,66.02,86.61,31,9,9.75,PK,1596139747
220,nizhniy kuranakh,58.84,125.49,59.68,75,99,8.05,RU,1596139747
221,barrow,71.29,-156.79,37.4,93,90,5.82,US,1596139709
222,klichka,50.45,118.0,59.9,91,78,2.35,RU,1596139748
223,namatanai,-3.67,152.43,80.19,83,100,10.92,PG,1596139748
224,kavaratti,10.57,72.64,82.85,78,100,17.83,IN,1596139748
225,durango,24.83,-104.83,76.41,48,58,9.66,MX,1596139460
226,poum,-20.23,164.02,74.55,85,2,12.08,NC,1596139749
227,bandarbeyla,9.49,50.81,78.82,81,31,31.56,SO,1596139749
228,cayenne,4.93,-52.33,87.8,66,30,5.82,GF,1596139744
229,rafraf,37.19,10.18,87.8,20,0,11.41,TN,1596139749
230,vila franca do campo,37.72,-25.43,75.2,73,20,11.41,PT,1596139750
231,dubti,11.74,41.09,88.14,53,63,15.7,ET,1596139750
232,colesberg,-30.72,25.1,47.7,42,0,5.14,ZA,1596139750
233,fortuna,40.6,-124.16,64.0,80,2,4.0,US,1596139750
234,samarai,-10.62,150.67,74.86,75,92,16.6,PG,1596139751
235,nemuro,43.32,145.57,62.17,96,8,11.77,JP,1596139751
236,dunkirk,51.05,2.37,69.01,79,0,10.11,FR,1596139751
237,akureyri,65.68,-18.09,55.4,71,60,11.41,IS,1596139751
238,skibbereen,51.55,-9.27,59.0,93,75,11.41,IE,1596139752
239,gines,37.39,-6.08,95.0,52,0,10.29,ES,1596139752
240,tukrah,32.53,20.58,78.06,81,0,8.37,LY,1596139752
241,coihaique,-45.58,-72.07,37.4,69,100,3.36,CL,1596139752
242,silopi,37.25,42.47,87.8,15,0,10.29,TR,1596139753
243,bongandanga,1.5,21.05,75.67,74,3,1.61,CD,1596139753
244,tiksi,71.69,128.87,41.83,88,97,4.34,RU,1596139724
245,shingu,33.73,135.98,73.35,90,0,3.6,JP,1596139754
246,salinas,36.68,-121.66,75.0,60,1,8.05,US,1596139547
247,bonthe,7.53,-12.51,77.29,85,91,7.25,SL,1596139754
248,san cristobal,7.77,-72.22,89.6,49,40,20.8,VE,1596139475
249,cuenca,-2.88,-78.98,59.0,87,90,3.36,EC,1596139521
250,belmonte,-15.86,-38.88,75.2,64,40,4.7,BR,1596139755
251,turbat,26.0,63.04,85.84,69,0,10.25,PK,1596139722
252,zlobin,45.29,14.65,82.4,65,20,2.24,HR,1596139756
253,dingle,11.0,122.67,77.04,88,100,6.17,PH,1596139757
254,jurmala,56.97,23.77,59.0,87,38,8.05,LV,1596139679
255,fairbanks,64.84,-147.72,68.0,83,100,3.2,US,1596139712
256,rudbar,30.15,62.6,86.85,14,0,11.99,AF,1596139758
257,atambua,-9.11,124.89,64.33,83,6,5.57,ID,1596139758
258,gewane,10.17,40.65,87.15,47,82,3.69,ET,1596139759
259,labytnangi,66.66,66.42,50.88,83,52,7.11,RU,1596139759
260,srikakulam,18.3,83.9,82.71,80,91,3.15,IN,1596139759
261,tomatlan,19.93,-105.25,92.86,48,100,8.88,MX,1596139760
262,chapleau,47.84,-83.4,68.0,64,75,2.24,CA,1596139760
263,arman,59.7,150.17,52.92,58,11,13.67,RU,1596139760
264,camacha,33.08,-16.33,69.8,64,75,10.29,PT,1596139761
265,kiunga,-6.12,141.29,72.59,95,100,3.62,PG,1596139761
266,beringovskiy,63.05,179.32,50.49,91,100,11.88,RU,1596139762
267,darhan,49.49,105.92,61.09,85,0,1.07,MN,1596139762
268,iracoubo,5.48,-53.2,83.53,67,14,7.58,GF,1596139762
269,ixtapa,20.7,-105.2,87.8,74,75,9.17,MX,1596139763
270,karasjok,69.47,25.51,57.2,67,6,14.99,NO,1596139763
271,provideniya,64.38,-173.3,50.0,81,90,15.66,RU,1596139708
272,beloha,-25.17,45.05,62.31,83,0,6.76,MG,1596139764
273,yaan,7.38,8.57,73.78,95,100,7.0,NG,1596139764
274,port moresby,-9.44,147.18,75.2,83,20,11.41,PG,1596139764
275,los llanos de aridane,28.66,-17.92,73.4,69,75,13.87,ES,1596139765
276,launceston,-41.45,147.17,37.99,93,54,4.7,AU,1596139765
277,nieuw amsterdam,5.88,-55.08,91.4,59,40,8.05,SR,1596139765
278,severo-kurilsk,50.68,156.12,54.95,92,99,10.45,RU,1596139728
279,sargatskoye,55.61,73.5,57.16,96,100,8.12,RU,1596139766
280,north battleford,52.78,-108.28,80.6,65,40,5.82,CA,1596139595
281,dubuque,42.48,-90.87,84.0,61,75,11.41,US,1596139767
282,san pedro,14.35,121.02,78.8,94,97,3.98,PH,1596139767
283,hudiksvall,61.73,17.1,57.99,98,54,1.99,SE,1596139688
284,kon tum,14.35,108.0,70.65,93,100,0.36,VN,1596139768
285,sulangan,11.14,123.72,84.2,72,100,11.5,PH,1596139768
286,ancud,-41.87,-73.82,52.0,93,75,11.41,CL,1596139768
287,paamiut,61.99,-49.67,47.12,91,63,3.94,GL,1596139769
288,chuy,-33.7,-53.46,50.81,75,0,6.55,UY,1596139769
289,tilichiki,60.47,166.1,51.76,97,100,2.89,RU,1596139769
290,san vicente,-26.62,-54.13,65.64,66,32,0.76,AR,1596139770
291,saldanha,-33.01,17.94,51.8,81,0,4.7,ZA,1596139770
292,yar-sale,66.83,70.83,50.31,81,0,5.5,RU,1596139609
293,san ramon,37.78,-121.98,84.0,34,1,8.05,US,1596139610
294,trofors,65.53,13.41,64.4,72,2,5.82,NO,1596139771
295,pemangkat,1.17,108.97,76.06,85,100,11.79,ID,1596139772
296,eureka,40.8,-124.16,64.0,87,90,6.93,US,1596139772
297,petropavlovsk-kamchatskiy,53.05,158.65,57.2,100,90,4.47,RU,1596139773
298,boda,4.32,17.47,69.94,94,95,2.37,CF,1596139773
299,lagoa,39.05,-27.98,70.72,77,89,13.38,PT,1596139741
300,englewood,39.65,-104.99,81.0,41,75,12.75,US,1596139773
301,redmond,47.67,-122.12,84.99,52,0,1.99,US,1596139622
302,hanna,51.63,-111.9,80.01,56,0,5.99,CA,1596139774
303,enterprise,36.03,-115.24,111.0,5,20,4.7,US,1596139700
304,yushu,44.8,126.53,67.86,96,100,8.41,CN,1596139774
305,ketchikan,55.34,-131.65,62.6,77,1,2.08,US,1596139725
306,avera,33.19,-82.53,89.6,66,75,10.29,US,1596139775
307,linguere,15.4,-15.12,80.37,78,100,11.25,SN,1596139775
308,kalabo,-14.97,22.68,62.11,35,0,6.91,ZM,1596139776
309,macia,-25.03,33.1,62.44,88,0,6.98,MZ,1596139776
310,tselinnoye,53.08,85.67,51.46,80,0,3.09,RU,1596139776
311,pochutla,15.74,-96.47,87.8,66,90,9.17,MX,1596139777
312,minden,52.28,8.92,71.01,52,40,4.7,DE,1596139777
313,cap malheureux,-19.98,57.61,69.01,82,0,3.0,MU,1596139777
314,prince rupert,54.32,-130.32,66.2,63,1,4.7,CA,1596139525
315,balakhta,55.38,91.6,55.53,96,100,5.08,RU,1596139778
316,emba,48.83,58.14,71.29,38,1,2.1,KZ,1596139778
317,nosy varika,-20.58,48.53,70.36,92,83,6.4,MG,1596139779
318,katsuura,35.13,140.3,73.4,94,75,3.36,JP,1596139779
319,arraial do cabo,-22.97,-42.03,68.0,93,75,11.41,BR,1596139779
320,brigantine,39.41,-74.36,89.6,59,1,11.41,US,1596139779
321,geraldton,-28.77,114.6,46.4,93,40,5.82,AU,1596139625
322,obihiro,42.92,143.2,59.58,86,0,1.45,JP,1596139780
323,harper,4.38,-7.72,75.47,84,86,8.59,LR,1596139780
324,namibe,-15.2,12.15,64.89,86,55,4.54,AO,1596139781
325,mezen,65.85,44.24,54.99,63,87,11.12,RU,1596139781
326,podgornoye,51.73,39.15,68.0,88,93,6.71,RU,1596139781
327,jaru,-10.44,-62.47,94.15,23,0,4.07,BR,1596139782
328,kamenka,51.32,42.77,73.0,62,100,1.68,RU,1596139782
329,shelburne,44.08,-80.2,79.0,50,20,6.93,CA,1596139782
330,abalak,58.13,68.59,52.59,99,100,3.53,RU,1596139782
331,nome,64.5,-165.41,53.01,100,90,11.41,US,1596139747
332,puerto narino,-3.77,-70.38,91.4,59,40,5.82,CO,1596139783
333,lewiston,44.1,-70.21,81.0,78,40,3.36,US,1596139560
334,kaiwaka,-36.17,174.45,55.99,85,88,1.99,NZ,1596139783
